asin,ISBN10,answered_questions,availability,brand,currency,date_first_available,delivery,department,description,discount,domain,features,final_price,format,image_url,images_count,initial_price,item_weight,manufacturer,model_number,plus_content,product_dimensions,rating,reviews_count,root_bs_rank,seller_id,seller_name,timestamp,title,upc,url,video,video_count,categories,best_sellers_rank,buybox_seller,image,number_of_sellers,colors
0007350813,0007350813,0,In Stock.,Emily Brontë,USD,,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 5 hrs 24 mins"",""Arrives before Christmas""]",,,,www.amazon.com,[],3.99,"[{""name"":""Kindle"",""price"":""$0.99"",""url"":""/Wuthering-Heights-Emily-Bronte-ebook/dp/B001C5L5V0""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Wuthering-Heights-Trout-Lake-Media/dp/B0099S8TKM""},{""name"":""Hardcover"",""price"":""$10.99"",""url"":""/Wuthering-Heights-Chartwell-Classics-Bronte/dp/0785839844""},{""name"":""Mass Market Paperback"",""price"":""$4.95"",""url"":""/Wuthering-Heights-Bantam-Classics-Bront%C3%AB/dp/0553212583""},{""name"":""MP3 CD"",""price"":""$9.99"",""url"":""/Wuthering-Heights-Classic-Collection-Bronte/dp/149158677X""},{""name"":""Flexibound"",""price"":""$8.59"",""url"":""/Wuthering-Heights-Word-Cloud-Classics/dp/1684122880""}]","https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",4,,7.8 ounces,,,,1 x 4.3 x 7 inches,4.6 out of 5 stars,13451,253400,ATVPDKIKX0DER,Amazon,2021-12-21T23:35:40.084Z,Wuthering Heights (Collins Classics),,https://www.amazon.com/dp/0007350813,,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / Short Stories & Anthologies"",""rank"":28},{""category"":""Books / Literature & Fiction / Historical Fiction / Short Stories & Anthologies / Short Stories"",""rank"":24}]",,,,
0007513763,9780007513765,0,In Stock.,Drew Daywalt,USD,,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery Wednesday, December 29 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,,www.amazon.com,[],12.08,"[{""name"":""Kindle"",""price"":""$10.99"",""url"":""/Day-Crayons-Quit-Drew-Daywalt-ebook/dp/B00AEBEQW8""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/The-Day-the-Crayons-Quit/dp/B09B8TMHZ3""},{""name"":""Hardcover"",""price"":""$9.19"",""url"":""/Day-Crayons-Quit-Drew-Daywalt/dp/0399255370""},{""name"":""Board book"",""price"":""$15.93"",""url"":""/Day-Crayons-Quit-Howard-Hughes/dp/0008167826""}]","https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",2,,8.5 ounces,,,,9.92 x 0.24 x 9.88 inches,4.8 out of 5 stars,16628,113569,ATVPDKIKX0DER,VMG Books & Media,2021-12-21T23:23:16.450Z,THE DAYS THE CRAYONS QUIT,,https://www.amazon.com/dp/0007513763,,0,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction / Christian / Friendship"",""rank"":42}]",VMG Books & Media,,,
0008183988,0008183988,0,,Bernard Cornwell,USD,,"[""FREE delivery January 4 - 10 if you spend $25 on items shipped by Amazon"",""Or fastest delivery December 29 - January 8"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery January 13 - 31. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,,www.amazon.com,[],,"[{""name"":""Kindle"",""price"":""$11.99"",""url"":""/War-Lord-Novel-Saxon-Tales-ebook/dp/B0853767GV""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/War-Lord-Last-Kingdom-Book/dp/B085W8TJ3F""},{""name"":""Hardcover"",""price"":""$18.29"",""url"":""/War-Lord-Novel-Saxon-Tales/dp/0062563297""},{""name"":""Audio CD"",""price"":""$39.99"",""url"":""/War-Lord-CD-Novel-Saxon/dp/0063052520""}]","https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",6,,12.3 ounces,,,,5.08 x 1.18 x 7.8 inches,4.8 out of 5 stars,11275,26233,ATVPDKIKX0DER,Reuseaworld,2021-12-21T23:23:19.996Z,War Lord: Book 13 (The Last Kingdom Series),,https://www.amazon.com/dp/0008183988,,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Historical Fiction / Military"",""rank"":70}]",Reuseaworld,,,
0008305838,0008305838,0,In Stock.,David Walliams,USD,,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery January 7 - 25. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,,www.amazon.com,[],20.43,"[{""name"":""Paperback"",""price"":""$24.78"",""url"":""/PRE-ORDER-Code-Bananas-David-Walliams/dp/0008454299""},{""name"":""Audio CD"",""price"":""$17.00"",""url"":""/Code-Name-Bananas/dp/0008454310""}]","https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",4,,1.28 pounds,,,,5.55 x 1.61 x 8.74 inches,4.8 out of 5 stars,15520,110841,ATVPDKIKX0DER,Bahamut Media,2021-12-21T23:23:17.540Z,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,,https://www.amazon.com/dp/0008305838,,0,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Children's Books / Literature & Fiction / Historical Fiction / Military & Wars"",""rank"":99}]",Bahamut Media,,,
0008375526,0008375526,0,In Stock.,Caroline Hirons,USD,,"[""FREE delivery Tuesday, December 28"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery Thursday, December 30 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,,www.amazon.com,[],28.89,"[{""name"":""Kindle"",""price"":""$16.99"",""url"":""/Skincare-ultimate-no-nonsense-Caroline-Hirons-ebook/dp/B07X28571F""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/skinCARE-The-Ultimate-No-Nonsense-Guide/dp/B07X8K9TW5""},{""name"":""Digital"",""price"":"""",""url"":""/skinCARE-ultimate-no-nonsense-Caroline-Hirons/dp/0007981147""}]","https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",7,,2.31 pounds,,,,7.48 x 1 x 9.49 inches,4.8 out of 5 stars,10884,41101,ATVPDKIKX0DER,KathrynAshleyGallery,2021-12-21T23:35:39.675Z,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,,https://www.amazon.com/dp/0008375526,,0,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]","[{""category"":""Books / Health, Fitness & Dieting / Beauty, Grooming, & Style"",""rank"":57},{""category"":""Books / Health, Fitness & Dieting / Aging / Beauty, Grooming & Style"",""rank"":3},{""category"":""Books / Health, Fitness & Dieting / Aging / Medical Conditions & Diseases"",""rank"":11},{""category"":""Books / Health, Fitness & Dieting / Diseases & Physical Ailments / Skin Ailments"",""rank"":9},{""category"":""Books / Health, Fitness & Dieting / Women's Health / General"",""rank"":82}]",KathrynAshleyGallery,,,
0008387753,0008387753,0,Only 13 left in stock - order soon.,J. R. R. Tolkien,USD,,"[""FREE delivery January 3 - 7. "",""Or fastest delivery December 29 - January 4. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,18.87,www.amazon.com,[],41.12,"[{""name"":""Vinyl Bound"",""price"":""$27.91"",""url"":""/Hobbit-Lord-Rings-Deluxe-Pocket/dp/0544445783""},{""name"":""Mass Market Paperback"",""price"":""$14.74"",""url"":""/J-R-R-Tolkien-4-Book-Boxed-Set/dp/0345538374""},{""name"":""Audio CD"",""price"":""$138.54"",""url"":""/Lord-Rings-Hobbit-J-R-R-Tolkien/dp/144586150X""}]","https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",1,59.99,2.56 pounds,,,,5.08 x 4.09 x 7.8 inches,4.8 out of 5 stars,20453,99974,AZOLNCI5GS0EX,Basi6 InternationalBasi6 International,2021-12-21T23:23:19.408Z,The Hobbit & The Lord of the Rings Boxed Set,,https://www.amazon.com/dp/0008387753,,0,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]","[{""category"":""Books / Literature & Fiction / Mythology & Folk Tales / Fairy Tales"",""rank"":45}]",Basi6 International,,,
0008433941,0008433941,0,Usually ships within 6 to 10 days.,J. R. R. Tolkien,USD,,"[""$3.99 delivery January 12 - 24. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,,www.amazon.com,[],36.11,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Silmarillion-J-R-R-Tolkien-ebook/dp/B007978PGI""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/The-Silmarillion-J-R-R-Tolkien-audiobook/dp/B016N9U37Q""},{""name"":""Paperback"",""price"":""$15.49"",""url"":""/Silmarillion-J-R-R-Tolkien/dp/0544338014""},{""name"":""Mass Market Paperback"",""price"":""$8.29"",""url"":""/Silmarillion-J-R-R-Tolkien/dp/0345325818""},{""name"":""Audio CD"",""price"":""$48.40"",""url"":""/Silmarillion-J-R-Tolkien/dp/0553456067""}]","https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",13,,2.4 pounds,,,,5.87 x 1.73 x 8.98 inches,4.7 out of 5 stars,10261,118712,A30UH7RV1UCIV3,tabletoparttabletopart,2021-12-21T23:23:19.359Z,The Silmarillion,,https://www.amazon.com/dp/0008433941,,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]","[{""category"":""Books / Literature & Fiction / Mythology & Folk Tales / Fairy Tales"",""rank"":60}]",tabletopart,,,
0060244887,0060244887,0,Only 12 left in stock - order soon.,C. S. Lewis,USD,,"[""FREE delivery Tuesday, December 28"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,66.01,www.amazon.com,[],53.99,"[{""name"":""Kindle"",""price"":""$29.99"",""url"":""/Chronicles-Narnia-Complete-7-Book-Collection-ebook/dp/B008LUYSAE""},{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Chronicles-Narnia-Adult-Box-Set/dp/B0835YQDTQ""},{""name"":""Paperback"",""price"":""$20.33"",""url"":""/Chronicles-Narnia-Box-Set-Lewis/dp/0061992887""},{""name"":""Mass Market Paperback"",""price"":""$29.99"",""url"":""/Chronicles-Narnia-U-K-Box-Set/dp/0007753128""},{""name"":""Audio CD"",""price"":""$56.98"",""url"":""/Complete-Chronicles-Narnia-Box-Set/dp/0060793260""},{""name"":""Multimedia CD"",""price"":"""",""url"":""/Chronicles-Collectors-COLLECTORS-UNABRIDGED-Compact/dp/B00QMODSVG""}]","https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",2,120,6.3 pounds,,,,6.81 x 6.3 x 9.8 inches,4.8 out of 5 stars,11222,3717,ATVPDKIKX0DER,Amazon,2021-12-21T23:35:37.401Z,The Chronicles of Narnia (Box Set),,https://www.amazon.com/dp/0060244887,,0,"[""Books"",""Children's Books"",""Literature & Fiction""]","[{""category"":""Books / Deals in Books"",""rank"":7},{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction"",""rank"":31},{""category"":""Books / Children's Books / Classics"",""rank"":92},{""category"":""Books / Christian Books & Bibles / Children's & Teens"",""rank"":59},{""category"":""Books / Children's Books / Literature & Fiction / Religious Fiction / Christian"",""rank"":28},{""category"":""Books / Children's Books / Religions / Christianity"",""rank"":52}]",,,,
0060254920,0060254920,0,In Stock.,Maurice Sendak,USD,,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery January 6 - 8 if you spend $25 on items shipped by Amazon"",""Or fastest delivery January 4 - 5"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,6.75,www.amazon.com,[],13.2,"[{""name"":""Audiobook"",""price"":""Audiobook $0.00"",""url"":""/Where-Wild-Things-Are-audiobook/dp/B000F2C704""},{""name"":""Paperback"",""price"":""$5.00"",""url"":""/Where-Wild-Things-Maurice-Sendak/dp/0064431789""},{""name"":""Audio CD"",""price"":""$28.42"",""url"":""/Things-Maurice-Sendak-Grimes-Audiobook/dp/B0080JD2UI""},{""name"":""Multimedia CD"",""price"":""$41.68"",""url"":""/Where-Wild-Things-Maurice-Sendak/dp/B004XGUUDE""}]","https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",6,19.95,14.4 ounces,,,,9.24 x 10.4 x 0.43 inches,4.9 out of 5 stars,27536,463,ATVPDKIKX0DER,-OnTimeBooks-,2021-12-21T23:35:38.391Z,Where the Wild Things Are,,https://www.amazon.com/dp/0060254920,,0,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]","[{""category"":""Books / Children's Books / Action & Adventure"",""rank"":31},{""category"":""Books / Children's Books / Classics"",""rank"":21},{""category"":""Books / Children's Books / Science Fiction & Fantasy"",""rank"":34},{""category"":""Books / Children's Books / Science Fiction & Fantasy / Fantasy & Magic"",""rank"":23}]",-OnTimeBooks-,,,
0060256656,0060256656,0,In Stock.,Shel Silverstein,USD,,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Friday, December 24. Order within 5 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery Friday, December 31 if you spend $25 on items shipped by Amazon"",""Or fastest delivery December 24 - 28"",""May arrive after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",,,8.9,www.amazon.com,[],9.09,"[{""name"":""Kindle"",""price"":""$0.00"",""url"":""/Giving-Tree-Shel-Silverstein-ebook/dp/B00DB2QZPI""}]","https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",3,17.99,1 pounds,,,,7.5 x 0.38 x 10 inches,4.9 out of 5 stars,23158,797,ATVPDKIKX0DER,FindAnyBook,2021-12-21T23:35:54.850Z,The Giving Tree,,https://www.amazon.com/dp/0060256656,,0,"[""Books"",""Children's Books"",""Classics""]","[{""category"":""Books / Children's Books / Classics"",""rank"":31}]",FindAnyBook,,,
